description,final_state,total_flips,total_events
A coin is heads up. Budi flips the coin. Xu flips the coin. Bambang does not flip the coin. Pedro flips the coin. Alejandro does not flip the coin. Vincent flips the coin. Guillaume does not flip the coin. Marco does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Alessandro does not flip the coin. Claire does not flip the coin. Juan does not flip the coin. Matheus does not flip the coin. Rohit flips the coin. Dominik does not flip the coin. Josef flips the coin. Cindy flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Hiromi does not flip the coin. Jessie flips the coin. Teresa does not flip the coin. Bart does not flip the coin. Barbara flips the coin. Theresia flips the coin. James flips the coin. Jorge does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Alejandra flips the coin. Linda does not flip the coin. Salvatore flips the coin. Maggie flips the coin. Indra flips the coin. Roberto does not flip the coin. Beatriz does not flip the coin. Wu does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Michaela flips the coin. Yuko flips the coin. Martine flips the coin. Yuan flips the coin. Franz flips the coin. Budi does not flip the coin. Miho flips the coin. Karin does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,6,8
A coin is heads up. Jack flips the coin. Petra flips the coin. Chen does not flip the coin. Alex flips the coin. Akira flips the coin. Jessie does not flip the coin. Candy does not flip the coin. Larissa flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Marcos does not flip the coin. Pablo does not flip the coin. Kajal flips the coin. Rita flips the coin. Marianne does not flip the coin. Laurent flips the coin. Philippe flips the coin. Davide does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Peter does not flip the coin. Marcelo flips the coin. Valentina does not flip the coin. Anna flips the coin. Hannah flips the coin. Yumi does not flip the coin. Dewi does not flip the coin. Santosh flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Antonio does not flip the coin. Fenny flips the coin. Ivy flips the coin. Thomas does not flip the coin. Cristina does not flip the coin. Jyoti flips the coin. Gerhard does not flip the coin. Ramesh flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Cherry flips the coin. Nancy flips the coin. Feng flips the coin. Yi flips the coin. Andy flips the coin. Elisabeth does not flip the coin. Bas does not flip the coin. Antonella does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Ana does not flip the coin. Fernanda does not flip the coin. Chiara flips the coin. Raj does not flip the coin. Marc flips the coin. Julie does not flip the coin. Puja flips the coin. Alex does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Gunawan flips the coin. Wahyu does not flip the coin. Markus flips the coin. Kim flips the coin. Yoko does not flip the coin. Rani does not flip the coin. Novi flips the coin. Santosh flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Lisa flips the coin. Vicky flips the coin. Raj flips the coin. Pilar does not flip the coin. Lucas does not flip the coin. Chen flips the coin. Mary does not flip the coin. Sonu does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Birgit flips the coin. David flips the coin. Antonio flips the coin. Ying flips the coin. Satoshi does not flip the coin. Kenji does not flip the coin. Md does not flip the coin. Giuseppe does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Bart does not flip the coin. Louise flips the coin. Matheus does not flip the coin. Peng does not flip the coin. Dominique does not flip the coin. Florian does not flip the coin. Diana flips the coin. Patrick flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Federica flips the coin. Cristina does not flip the coin. Pierre flips the coin. Sophie does not flip the coin. Florian flips the coin. Jun does not flip the coin. Bruna does not flip the coin. Ajay flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. José flips the coin. Yuka does not flip the coin. Jennifer does not flip the coin. Hiromi does not flip the coin. Li does not flip the coin. Kaori does not flip the coin. Makoto does not flip the coin. Anil does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,8
A coin is heads up. Siti does not flip the coin. Dominique does not flip the coin. Yan does not flip the coin. James flips the coin. Giovanni flips the coin. Kerstin flips the coin. Claire does not flip the coin. Rita does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Maria does not flip the coin. Rani flips the coin. Raj flips the coin. Yuan does not flip the coin. Jie flips the coin. Puja does not flip the coin. Olivier flips the coin. Pascal flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Claire does not flip the coin. Juliana does not flip the coin. Alexander flips the coin. Peng flips the coin. Mark does not flip the coin. Lisa does not flip the coin. Adriana does not flip the coin. Rani flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Thierry flips the coin. Alessandro flips the coin. Robert flips the coin. Stefano flips the coin. Chiara flips the coin. Lee does not flip the coin. Anne does not flip the coin. Sofie does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Ryan does not flip the coin. Luc does not flip the coin. Candy flips the coin. Alessandro does not flip the coin. Wahyu flips the coin. Ayumi flips the coin. Susan does not flip the coin. Naoki does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Mayumi does not flip the coin. Hendra does not flip the coin. Raj flips the coin. Priyanka does not flip the coin. Makoto flips the coin. Wahyu does not flip the coin. Ashley flips the coin. Anna flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Sanjay flips the coin. Steve does not flip the coin. Kenji flips the coin. Stefan flips the coin. Susan does not flip the coin. Ayaka does not flip the coin. Chen flips the coin. Brian flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Deepak flips the coin. Joke flips the coin. Ivy flips the coin. Seema flips the coin. Ying does not flip the coin. Nicole flips the coin. Wolfgang does not flip the coin. Gerhard flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,6,8
A coin is heads up. Philippe does not flip the coin. Guillaume does not flip the coin. Allen does not flip the coin. Ricardo does not flip the coin. Sarah does not flip the coin. Camille flips the coin. Marcelo does not flip the coin. Romain does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,8
A coin is heads up. Alessandra flips the coin. Ricardo flips the coin. Noriko does not flip the coin. Hiroyuki flips the coin. Hiroki does not flip the coin. Dirk flips the coin. Wu flips the coin. Susan does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Md flips the coin. Steve flips the coin. Tobias flips the coin. Michelle flips the coin. Yan does not flip the coin. Jan flips the coin. Anneke does not flip the coin. Ana does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Ian does not flip the coin. Vincent flips the coin. Mario flips the coin. Sandrine flips the coin. Hiromi does not flip the coin. Stefanie does not flip the coin. Jing flips the coin. Javier flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Achmad flips the coin. Anna does not flip the coin. Stefano does not flip the coin. Eduardo does not flip the coin. John does not flip the coin. Pedro does not flip the coin. Lisa does not flip the coin. Cathy does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,8
A coin is heads up. Alberto flips the coin. Ryan does not flip the coin. Karin does not flip the coin. Yi does not flip the coin. Chris does not flip the coin. Nicole does not flip the coin. Marcel does not flip the coin. Kajal flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,8
A coin is heads up. Dominik does not flip the coin. Riya does not flip the coin. Sylvie flips the coin. Manisha flips the coin. Emily does not flip the coin. Doris does not flip the coin. Marcelo flips the coin. Yoko does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Kenji flips the coin. Elizabeth does not flip the coin. Isabelle flips the coin. Jason flips the coin. Ian flips the coin. Jeroen does not flip the coin. José does not flip the coin. Raquel does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Francisco flips the coin. Vijay does not flip the coin. Raju flips the coin. Marcel does not flip the coin. Claudia flips the coin. Priyanka does not flip the coin. Wu does not flip the coin. Manoj flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Heike does not flip the coin. Sebastian flips the coin. Martine does not flip the coin. Luigi flips the coin. Helen flips the coin. María does not flip the coin. Masahiro does not flip the coin. Martha does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Mamta does not flip the coin. Mark flips the coin. Budi does not flip the coin. Ying flips the coin. Vincenzo flips the coin. Thomas flips the coin. Sebastian does not flip the coin. María flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Henk does not flip the coin. Theresia does not flip the coin. Eva flips the coin. Yuko does not flip the coin. Amit flips the coin. Rohit does not flip the coin. Florian flips the coin. Davide does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Yuko flips the coin. Sophie does not flip the coin. Adam flips the coin. Sven does not flip the coin. Arief does not flip the coin. Ayaka does not flip the coin. Raquel does not flip the coin. Manoj flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Emma does not flip the coin. Manisha flips the coin. Indra does not flip the coin. Tracy flips the coin. Monique does not flip the coin. Makoto flips the coin. Priyanka does not flip the coin. Sven does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Naoki does not flip the coin. Rafael flips the coin. Giovanni flips the coin. Pierre flips the coin. Heike flips the coin. Cristina flips the coin. Dwi does not flip the coin. Gabriela flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,6,8
A coin is heads up. Manuela flips the coin. Stephanie does not flip the coin. Monika flips the coin. Alberto does not flip the coin. Martin flips the coin. Guadalupe does not flip the coin. Hannah flips the coin. Luana flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Stefania does not flip the coin. Fenny does not flip the coin. Christine flips the coin. Erik does not flip the coin. Anna does not flip the coin. Rohit does not flip the coin. Christophe does not flip the coin. Huang flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,8
A coin is heads up. Nancy does not flip the coin. Deepak flips the coin. Jolanda does not flip the coin. Lukas flips the coin. Stefan does not flip the coin. Huang does not flip the coin. Indah does not flip the coin. Stefania does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,8
A coin is heads up. Roberto flips the coin. Alessandra flips the coin. Francesca flips the coin. Haruka flips the coin. Gunawan does not flip the coin. Christophe flips the coin. Elisabeth flips the coin. Manuela flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,7,8
A coin is heads up. Manfred flips the coin. Alexander flips the coin. Lee flips the coin. Lei flips the coin. Mari Carmen flips the coin. Bas does not flip the coin. Hiroyuki flips the coin. Naoki does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,6,8
A coin is heads up. Marie flips the coin. Sabine does not flip the coin. Daisuke flips the coin. Luc flips the coin. Paola does not flip the coin. Irwan flips the coin. Mukesh does not flip the coin. Bruna does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Katie flips the coin. Ravi does not flip the coin. Larissa flips the coin. Cherry does not flip the coin. Sven flips the coin. Miki flips the coin. Federica does not flip the coin. Massimo does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Paola does not flip the coin. Bambang flips the coin. Indra flips the coin. Fabio does not flip the coin. Marco flips the coin. Andri flips the coin. Wang flips the coin. Mike does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Franz does not flip the coin. Jolanda does not flip the coin. Paula flips the coin. Akira does not flip the coin. Priya does not flip the coin. Mary does not flip the coin. Mayumi flips the coin. Luciana does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,8
A coin is heads up. Isabel flips the coin. Pilar flips the coin. Julie flips the coin. Iwan flips the coin. Oscar flips the coin. Tom flips the coin. Paula flips the coin. Luciana does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,7,8
A coin is heads up. Andy does not flip the coin. Sunil does not flip the coin. Santosh flips the coin. Dwi does not flip the coin. Hans flips the coin. Andreas flips the coin. Iwan does not flip the coin. Jennifer flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Cathy does not flip the coin. Rob does not flip the coin. Alberto flips the coin. Fenny does not flip the coin. Sonja flips the coin. Daisuke does not flip the coin. Zhang does not flip the coin. Davide flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Anna flips the coin. Fernando does not flip the coin. Lauren does not flip the coin. Federica does not flip the coin. Tom does not flip the coin. Marcel does not flip the coin. Luana flips the coin. Chiara does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,8
A coin is heads up. Bernhard flips the coin. María flips the coin. Alejandra does not flip the coin. Achmad does not flip the coin. Sanne flips the coin. Karla does not flip the coin. Lee does not flip the coin. Martine does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Federica flips the coin. Candy flips the coin. Seema does not flip the coin. Nathalie flips the coin. Li does not flip the coin. Allen does not flip the coin. Sabrina flips the coin. Herry flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Raj does not flip the coin. Emily does not flip the coin. Petra does not flip the coin. Sunil does not flip the coin. Takuya does not flip the coin. Rohit flips the coin. Priyanka flips the coin. Cindy flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Mari Carmen does not flip the coin. Diana flips the coin. Dewi does not flip the coin. Petra flips the coin. Manisha flips the coin. Alberto flips the coin. Kelly does not flip the coin. Miki flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Liang flips the coin. Manisha does not flip the coin. Maria does not flip the coin. Sarah flips the coin. Anjali flips the coin. Raj does not flip the coin. Anneke flips the coin. Sergio does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Andrew flips the coin. Nadine flips the coin. Yoko does not flip the coin. Martha does not flip the coin. Ayumi does not flip the coin. Endang does not flip the coin. Yanti flips the coin. Silvia flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Peter does not flip the coin. Pablo does not flip the coin. Noriko does not flip the coin. Indah does not flip the coin. Ajay flips the coin. Philippe flips the coin. Wahyu does not flip the coin. Doris flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Takahiro does not flip the coin. Bruno does not flip the coin. Mark flips the coin. Indra does not flip the coin. Hannah flips the coin. Helen does not flip the coin. Johan flips the coin. Noriko flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Gabriela flips the coin. Heather does not flip the coin. Angela does not flip the coin. Antonella does not flip the coin. Ying does not flip the coin. Kaori flips the coin. Sherry flips the coin. Bruce flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Maxime flips the coin. Louise flips the coin. Jose does not flip the coin. Nicole does not flip the coin. Sonu does not flip the coin. Atsushi does not flip the coin. Heike flips the coin. Anna flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Takuya flips the coin. Marie flips the coin. Bart does not flip the coin. Alessandro does not flip the coin. Ellen flips the coin. Luana does not flip the coin. Brigitte flips the coin. Cherry flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Melanie flips the coin. Sophie does not flip the coin. Rakesh does not flip the coin. Gabriela flips the coin. Nisha does not flip the coin. Robert flips the coin. Marcel flips the coin. Mike flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Yuan does not flip the coin. Mayumi flips the coin. Anjali flips the coin. Herry flips the coin. Tom flips the coin. Beatriz flips the coin. Yang does not flip the coin. Ellen does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Fiona flips the coin. Daniela does not flip the coin. Maxime does not flip the coin. Lauren does not flip the coin. Thierry flips the coin. Silvia does not flip the coin. Larissa flips the coin. Romain flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Michel does not flip the coin. Thierry flips the coin. Nicole flips the coin. Claudia flips the coin. Martha flips the coin. Maria does not flip the coin. Laura does not flip the coin. Teguh does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Christoph does not flip the coin. Tri does not flip the coin. Angel flips the coin. Antonio flips the coin. Isabel flips the coin. Rahul flips the coin. Yusuke does not flip the coin. Zhang flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Fenny does not flip the coin. Daniela flips the coin. Mari Carmen does not flip the coin. Barbara does not flip the coin. Adam flips the coin. Sue does not flip the coin. Ayu does not flip the coin. Francisca does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,8
A coin is heads up. Priya does not flip the coin. Michel flips the coin. Alexander does not flip the coin. Tom does not flip the coin. Yi does not flip the coin. Alain flips the coin. Yanti flips the coin. Alberto flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Katharina flips the coin. Philipp does not flip the coin. Elizabeth does not flip the coin. Nathalie does not flip the coin. Virginie flips the coin. Lei flips the coin. Kajal flips the coin. Sofie does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Javier does not flip the coin. Fernando does not flip the coin. Santosh does not flip the coin. Makoto does not flip the coin. Elodie flips the coin. Jose does not flip the coin. Paula does not flip the coin. Jorge flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,8
A coin is heads up. Yu does not flip the coin. Amanda does not flip the coin. Takeshi does not flip the coin. Jie does not flip the coin. Giulia flips the coin. Bruno flips the coin. Kenji flips the coin. Diah flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Carine does not flip the coin. Alexander flips the coin. David does not flip the coin. Kevin does not flip the coin. Rachel flips the coin. Linda flips the coin. Sonu flips the coin. Heru flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Heike does not flip the coin. Jesus flips the coin. Andrew flips the coin. Ayaka does not flip the coin. Maggie does not flip the coin. Josef does not flip the coin. Joe flips the coin. Sabine does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Ryo does not flip the coin. Elizabeth does not flip the coin. Rini does not flip the coin. Vincenzo does not flip the coin. Anjali flips the coin. Mari Carmen flips the coin. Beatriz flips the coin. Manju does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Arief does not flip the coin. Sunil does not flip the coin. Nisha flips the coin. Pilar flips the coin. Wim flips the coin. Anneke does not flip the coin. Hiromi flips the coin. Li does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Steven does not flip the coin. Diana does not flip the coin. Luc flips the coin. Matthias flips the coin. Nadine does not flip the coin. Stephanie does not flip the coin. Alejandro flips the coin. Irwan does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Ryan does not flip the coin. Francisca does not flip the coin. Alexandre does not flip the coin. Dennis does not flip the coin. Erik flips the coin. Amy flips the coin. João does not flip the coin. Bart does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,8
A coin is heads up. Pascal does not flip the coin. Dirk does not flip the coin. Alejandro does not flip the coin. Novi flips the coin. Vijay flips the coin. Diah does not flip the coin. Frank flips the coin. Komal flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Jose does not flip the coin. Noriko flips the coin. Pilar does not flip the coin. Alexandre flips the coin. Philippe flips the coin. Francesco flips the coin. Sue does not flip the coin. Rafael flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Katharina does not flip the coin. Manfred flips the coin. Christophe does not flip the coin. Neha does not flip the coin. Adriana does not flip the coin. Marcelo flips the coin. Sonia does not flip the coin. Satoshi flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Diah does not flip the coin. Mari Carmen flips the coin. Hiroko does not flip the coin. Fitri flips the coin. Barbara does not flip the coin. Mario does not flip the coin. Yuki does not flip the coin. Karin does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,8
A coin is heads up. Charlotte flips the coin. Christophe flips the coin. Indah flips the coin. Bruna does not flip the coin. Luca does not flip the coin. Oscar flips the coin. Raju does not flip the coin. Louise does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Pablo does not flip the coin. Takeshi flips the coin. Alessandro does not flip the coin. Pascal flips the coin. Johan flips the coin. Miho flips the coin. Jessie does not flip the coin. Paul does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Fernando flips the coin. Julie does not flip the coin. Carine does not flip the coin. Elizabeth flips the coin. Frank does not flip the coin. Andrew does not flip the coin. Carlos does not flip the coin. Gabriel flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Guadalupe flips the coin. Pedro flips the coin. Ayumi flips the coin. Alejandro does not flip the coin. Carlos flips the coin. Sebastian does not flip the coin. Tracy does not flip the coin. Pierre flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Michaela does not flip the coin. Anneke does not flip the coin. Kelly flips the coin. Tom flips the coin. Dennis does not flip the coin. Antonio flips the coin. Alex does not flip the coin. Matheus flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Iwan flips the coin. Tanja does not flip the coin. Theresia does not flip the coin. Michaela does not flip the coin. Felipe does not flip the coin. Made does not flip the coin. Audrey does not flip the coin. Sabrina does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,8
A coin is heads up. Yuka does not flip the coin. Zoe does not flip the coin. Alejandra flips the coin. Valentina flips the coin. David flips the coin. Sanjay does not flip the coin. Ian does not flip the coin. Rosa flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Miki does not flip the coin. João does not flip the coin. Keiko flips the coin. Makoto does not flip the coin. Marine does not flip the coin. Juliana flips the coin. Mari Carmen does not flip the coin. Salvatore flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,8
A coin is heads up. Alessandra flips the coin. Luana does not flip the coin. Sunita flips the coin. Marcos does not flip the coin. Akira flips the coin. Peng flips the coin. Aline does not flip the coin. Luca flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Fernanda does not flip the coin. Alain flips the coin. Stefania does not flip the coin. Bambang does not flip the coin. Ian flips the coin. Martha does not flip the coin. Valentina does not flip the coin. Michelle does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,8
A coin is heads up. Sanjay flips the coin. Takashi flips the coin. Hiroko flips the coin. Marine does not flip the coin. Indra does not flip the coin. Priya flips the coin. Thomas flips the coin. Karla does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,5,8
A coin is heads up. Mukesh flips the coin. Patrick flips the coin. Lucia does not flip the coin. Andrew does not flip the coin. Neha does not flip the coin. Raj flips the coin. Komal flips the coin. Xu does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
A coin is heads up. Megumi does not flip the coin. Vanessa flips the coin. Catherine does not flip the coin. Joe does not flip the coin. Adam does not flip the coin. Alberto flips the coin. Fernanda does not flip the coin. Matthew does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,8
A coin is heads up. Zoe does not flip the coin. Henk flips the coin. James flips the coin. Manfred does not flip the coin. Philippe flips the coin. Bruno does not flip the coin. Indra flips the coin. Jorge does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,8
