Task,Model,Prompt type,Prompt,System message type,Prompt system message,Answer system message,Number of examples,Number of correct,Accuracy,Cost_Prompt_Total,Cost_Prompt_Per token,Cost_Completion_Total,Cost_Completion_Per token,Cost_Total_Total,Cost_Total_Per token,Cost_Currency
coinflip/four,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",CoT-list,"You are an instruction following, problem solving agent. Provide concise, practical responses to instructions. Do not explain responses. Give lists of steps.\n1.\n2.\n3.\n...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,464.0,0.928,0.26609550000000004,0.0005321910000000001,0.0984,0.0001968,0.36449550000000003,0.000728991,USD
coinflip/four,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,447.0,0.894,0.32323050000000003,0.0006464610000000001,0.19955799999999999,0.000399116,0.5227885,0.001045577,USD
coinflip/four,gpt-3.5-turbo,CoT,Let's think about this step by step.,ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,492.0,0.984,0.244644,0.000489288,0.119876,0.000239752,0.36452,0.00072904,USD
coinflip/four,gpt-3.5-turbo,CoT,Let's think about this step by step.,CoT-list,"You are an instruction following, problem solving agent. Provide concise, practical responses to instructions. Do not explain responses. Give lists of steps.\n1.\n2.\n3.\n...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,259.0,0.518,0.234348,0.000468696,0.07707399999999999,0.00015414799999999997,0.311422,0.000622844,USD
coinflip/four,gpt-3.5-turbo,CoT,Let's think about this step by step.,instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,495.0,0.99,0.2475975,0.000495195,0.11979999999999999,0.00023959999999999997,0.3673975,0.000734795,USD
coinflip/four,gpt-3.5-turbo,None,,ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,209.0,0.418,0.17186400000000002,0.000343728,0.03183,6.366e-05,0.20369400000000001,0.000407388,USD
coinflip/four,gpt-3.5-turbo,None,,CoT-list,"You are an instruction following, problem solving agent. Provide concise, practical responses to instructions. Do not explain responses. Give lists of steps.\n1.\n2.\n3.\n...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,290.0,0.58,0.205254,0.00041050799999999997,0.047279999999999996,9.455999999999999e-05,0.252534,0.000505068,USD
coinflip/four,gpt-3.5-turbo,None,,instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,252.0,0.504,0.173613,0.00034722599999999996,0.03013,6.026e-05,0.20374299999999998,0.000407486,USD
gsm8k,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,325.0,0.65,0.34404450000000003,0.000688089,0.210748,0.000421496,0.5547925,0.001109585,USD
gsm8k,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,334.0,0.668,0.34869300000000003,0.000697386,0.212914,0.000425828,0.561607,0.001123214,USD
gsm8k,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",instruct-list,"You are an instruction following, problem solving assistant. Respond with lists \n1.\n2.\n3.\n...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,315.0,0.63,0.3346875,0.000669375,0.18336599999999997,0.00036673199999999993,0.5180535,0.0010361069999999999,USD
gsm8k,gpt-3.5-turbo,CoT,Let's think about this step by step.,ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,348.0,0.696,0.3028845,0.000605769,0.176838,0.000353676,0.4797225,0.000959445,USD
gsm8k,gpt-3.5-turbo,CoT,Let's think about this step by step.,instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,316.0,0.632,0.30382200000000004,0.0006076440000000001,0.17407999999999998,0.00034816,0.47790200000000005,0.0009558040000000001,USD
gsm8k,gpt-3.5-turbo,CoT,Let's think about this step by step.,instruct-list,"You are an instruction following, problem solving assistant. Respond with lists \n1.\n2.\n3.\n...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,352.0,0.704,0.3042855,0.000608571,0.163706,0.00032741199999999996,0.4679915,0.000935983,USD
gsm8k,gpt-3.5-turbo,None,,ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,385.0,0.77,0.2699685,0.000539937,0.141918,0.000283836,0.4118865,0.000823773,USD
gsm8k,gpt-3.5-turbo,None,,instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,364.0,0.728,0.286971,0.0005739419999999999,0.16060399999999997,0.00032120799999999996,0.44757499999999995,0.0008951499999999999,USD
gsm8k,gpt-3.5-turbo,None,,instruct-list,"You are an instruction following, problem solving assistant. Respond with lists \n1.\n2.\n3.\n...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,349.0,0.698,0.290256,0.000580512,0.153992,0.00030798399999999997,0.444248,0.0008884959999999999,USD
prontoqa,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knowledge changes at each step.",ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,338.0,0.676,0.4307955,0.000861591,0.25335199999999997,0.000506704,0.6841474999999999,0.0013682949999999998,USD
prontoqa,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knowledge changes at each step.",instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,343.0,0.686,0.43465050000000005,0.0008693010000000001,0.253274,0.000506548,0.6879245,0.0013758490000000002,USD
prontoqa,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",instruct-list,"You are an instruction following, problem solving assistant. Respond with lists \n1.\n2.\n3.\n...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,348.0,0.696,0.435243,0.000870486,0.240368,0.000480736,0.675611,0.001351222,USD
prontoqa,gpt-3.5-turbo,CoT,Let's think about this step by step.,ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,414.0,0.828,0.3176055,0.000635211,0.14338199999999998,0.00028676399999999995,0.4609875,0.000921975,USD
prontoqa,gpt-3.5-turbo,CoT,Let's think about this step by step.,instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,412.0,0.824,0.32412,0.00064824,0.137454,0.000274908,0.46157400000000004,0.000923148,USD
prontoqa,gpt-3.5-turbo,CoT,Let's think about this step by step.,instruct-list,"You are an instruction following, problem solving assistant. Respond with lists \n1.\n2.\n3.\n...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,443.0,0.886,0.347004,0.000694008,0.16758,0.00033516000000000004,0.5145839999999999,0.0010291679999999998,USD
prontoqa,gpt-3.5-turbo,None,,ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,461.0,0.922,0.21822600000000003,0.00043645200000000004,0.019876,3.9752e-05,0.23810200000000004,0.0004762040000000001,USD
prontoqa,gpt-3.5-turbo,None,,instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,463.0,0.926,0.2221425,0.000444285,0.021098,4.2196e-05,0.2432405,0.000486481,USD
prontoqa,gpt-3.5-turbo,None,,instruct-list,"You are an instruction following, problem solving assistant. Respond with lists \n1.\n2.\n3.\n...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",500,444.0,0.888,0.226386,0.000452772,0.015756,3.1512e-05,0.242142,0.000484284,USD
tracking_shuffled_objects/three_objects,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",750,,0.5906666666666667,0.57285,0.00076,0.25076,0.00033,0.82361,0.0011,USD
tracking_shuffled_objects/three_objects,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",CoT-list,"You are an instruction following, problem solving agent. Provide concise, practical responses to instructions. Do not explain responses. Give lists of steps.\n 1.\n 2.\n 3.\n ...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",750,,0.6026666666666667,0.56538,0.00075,0.19731,0.00026,0.76269,0.00102,USD
tracking_shuffled_objects/three_objects,gpt-3.5-turbo,CoT-WS,"Let's think about this step by step and describe how the state of the world, any values, or our knoweledge change at each step.",instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",750,,0.6133333333333333,0.57715,0.00077,0.25051,0.00033,0.82766,0.0011,USD
tracking_shuffled_objects/three_objects,gpt-3.5-turbo,CoT,Let's think about this step by step.,ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",750,,0.5146666666666667,0.53909,0.00072,0.2372,0.00032,0.77629,0.00104,USD
tracking_shuffled_objects/three_objects,gpt-3.5-turbo,CoT,Let's think about this step by step.,CoT-list,"You are an instruction following, problem solving agent. Provide concise, practical responses to instructions. Do not explain responses. Give lists of steps.\n 1.\n 2.\n 3.\n ...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",750,,0.4573333333333333,0.49954,0.00067,0.14097,0.00019,0.64051,0.00085,USD
tracking_shuffled_objects/three_objects,gpt-3.5-turbo,CoT,Let's think about this step by step.,instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",750,,0.5346666666666666,0.54558,0.00073,0.23984,0.00032,0.78543,0.00105,USD
tracking_shuffled_objects/three_objects,gpt-3.5-turbo,None,,ChatGPT-default,You are a helpful assistant.,"You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",750,,0.31733333333333336,0.37002,0.00049,0.02521,3e-05,0.39523,0.00053,USD
tracking_shuffled_objects/three_objects,gpt-3.5-turbo,None,,CoT-list,"You are an instruction following, problem solving agent. Provide concise, practical responses to instructions. Do not explain responses. Give lists of steps.\n 1.\n 2.\n 3.\n ...","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",750,,0.31066666666666665,0.41247,0.00055,0.03828,5e-05,0.45074,0.0006,USD
tracking_shuffled_objects/three_objects,gpt-3.5-turbo,None,,instruct,"You are an instruction following, problem solving assistant.","You are an instruction following, problem solving agent. Only respond with the exact answer. Do not explain your answers. Do not respond with sentences. Give exactly one answer.",750,,0.33066666666666666,0.37413,0.0005,0.02473,3e-05,0.39886,0.00053,USD
