description,final_state,total_flips,total_events
A coin is heads up. Alberto does not flip the coin. Pablo flips the coin. Joe does not flip the coin. Amit flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Luciana flips the coin. Johann flips the coin. Anjali does not flip the coin. Guillaume does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Wei does not flip the coin. Peng flips the coin. Siti flips the coin. Deepak flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Marcos flips the coin. Miki flips the coin. Christian does not flip the coin. Arief flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Manju does not flip the coin. Crystal flips the coin. Guadalupe flips the coin. Indah does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Elodie does not flip the coin. Megumi flips the coin. Kim does not flip the coin. Mike flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Juliana does not flip the coin. Camille flips the coin. Franz flips the coin. Dian flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Tom does not flip the coin. Martina flips the coin. Manoj does not flip the coin. Satoshi flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Ellen flips the coin. Takuya does not flip the coin. Hiroko flips the coin. Mayumi flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Nancy flips the coin. Juliana flips the coin. Guillaume does not flip the coin. Johann flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Rohit flips the coin. Ann flips the coin. Paolo flips the coin. Renate does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Sherry does not flip the coin. Lukas does not flip the coin. Santosh does not flip the coin. Manju flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Romain does not flip the coin. Fitri does not flip the coin. Retno flips the coin. Makoto does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Ryo does not flip the coin. Zoe flips the coin. David does not flip the coin. Jolanda does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Martin does not flip the coin. Hiroshi flips the coin. Liu does not flip the coin. Martine flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Nancy flips the coin. Jesus does not flip the coin. Thomas does not flip the coin. Carlos does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Ashley does not flip the coin. Stephanie flips the coin. Ricardo flips the coin. Marcos does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Marie does not flip the coin. Allen flips the coin. Lei does not flip the coin. Isabelle flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Mario does not flip the coin. Michaela flips the coin. Rani does not flip the coin. Mike flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Bruna flips the coin. Yuka flips the coin. Jason flips the coin. Manuela flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,4
A coin is heads up. Teguh flips the coin. Philipp flips the coin. Jing does not flip the coin. Johan flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Tomoko does not flip the coin. Eduardo does not flip the coin. Nicole flips the coin. Jason does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Vincenzo does not flip the coin. Luana flips the coin. Robert does not flip the coin. Vijay flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Akiko does not flip the coin. Luis flips the coin. Mari Carmen flips the coin. Takashi does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Yuan flips the coin. John does not flip the coin. Allen does not flip the coin. Riya flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Dwi flips the coin. Ferry does not flip the coin. Roberto flips the coin. Alejandro does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Elizabeth does not flip the coin. Karin flips the coin. Akira flips the coin. Stephanie flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Vincenzo flips the coin. Marc flips the coin. Antonella flips the coin. Diana flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,4
A coin is heads up. Giulia does not flip the coin. Alessandra does not flip the coin. Yuka flips the coin. Sanne does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Anna does not flip the coin. Hiromi does not flip the coin. Kerstin flips the coin. Li flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Fernanda does not flip the coin. Matt flips the coin. Takashi flips the coin. Camille flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Komal does not flip the coin. Ade does not flip the coin. Steve flips the coin. Wolfgang does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Silvia flips the coin. Juan does not flip the coin. Jing flips the coin. Ingrid flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Peter flips the coin. Elena flips the coin. Lei does not flip the coin. Raj flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Isabelle does not flip the coin. Yuka does not flip the coin. Iwan flips the coin. Mario flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. María does not flip the coin. Henk flips the coin. Yuko flips the coin. Joke does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Luc does not flip the coin. Tom flips the coin. Miguel flips the coin. Mayumi does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Lei does not flip the coin. Patrick flips the coin. Eliane flips the coin. Jack flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Lucia does not flip the coin. Lei does not flip the coin. Julien flips the coin. Thomas does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Hiroko does not flip the coin. Giulia flips the coin. Charlotte flips the coin. Katharina flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Eric flips the coin. Isabelle does not flip the coin. Chen flips the coin. João flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Adam does not flip the coin. Takashi flips the coin. Giovanni does not flip the coin. Christoph flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Mario does not flip the coin. Yu flips the coin. Yvonne flips the coin. Linda flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Sophie does not flip the coin. Isabelle flips the coin. Michaela flips the coin. Koji does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Wang does not flip the coin. Sarah does not flip the coin. Amy does not flip the coin. María flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Luciana does not flip the coin. Diah flips the coin. Guadalupe flips the coin. Ravi does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Jesus flips the coin. Johann does not flip the coin. Mayumi flips the coin. Stefania flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Virginie flips the coin. Sofie flips the coin. Anjali does not flip the coin. Hiroyuki flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Daniel flips the coin. Marcel flips the coin. Sherry flips the coin. Jennifer flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,4
A coin is heads up. Eko flips the coin. Johan flips the coin. Alejandra flips the coin. Rafael flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,4
A coin is heads up. Emma does not flip the coin. Florian flips the coin. Md flips the coin. Ryo flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Michele flips the coin. Yoko flips the coin. Sebastian does not flip the coin. Yvonne does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Wolfgang does not flip the coin. Christian does not flip the coin. Andy does not flip the coin. Ryan flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Andy does not flip the coin. Michelle flips the coin. Vincent flips the coin. Puja does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Francesco does not flip the coin. Tanja does not flip the coin. Michael does not flip the coin. Rini does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,0,4
A coin is heads up. Alex does not flip the coin. Silvia flips the coin. Ellen does not flip the coin. Siti does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Ben flips the coin. Zhang does not flip the coin. Paula does not flip the coin. Angel flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Martine does not flip the coin. Ashley does not flip the coin. Federica flips the coin. Michele flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Andrea flips the coin. Daniela does not flip the coin. Philipp does not flip the coin. Eko flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Federica flips the coin. Budi flips the coin. Michele flips the coin. Maxime does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. David does not flip the coin. Paola does not flip the coin. Romain does not flip the coin. Frank flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Gerhard flips the coin. Rodrigo does not flip the coin. Sven flips the coin. Achmad flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Camille does not flip the coin. Ana does not flip the coin. Wahyu does not flip the coin. Luciana does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,0,4
A coin is heads up. Fernanda flips the coin. Sergio flips the coin. Markus does not flip the coin. Giovanni flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Jose does not flip the coin. Luca flips the coin. Marc flips the coin. Adriana does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Wei flips the coin. Luigi does not flip the coin. Joe does not flip the coin. Jolanda does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Karin flips the coin. Keiko does not flip the coin. Alex does not flip the coin. Jolanda does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Philipp does not flip the coin. Anne does not flip the coin. Yuan flips the coin. Sonja does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Matthew does not flip the coin. Gabriela flips the coin. Theresia flips the coin. Sven flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Manuela does not flip the coin. Rachel does not flip the coin. Michelle does not flip the coin. Linda flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Matthew flips the coin. Ravi does not flip the coin. Erik flips the coin. Audrey does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Tri does not flip the coin. Ajay flips the coin. Francisca does not flip the coin. Kim does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Liu flips the coin. Jorge flips the coin. Amanda flips the coin. Philipp does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Vincent flips the coin. Maggie flips the coin. James flips the coin. Romain does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Robert flips the coin. Virginie flips the coin. Paola does not flip the coin. Rodrigo does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Sabine does not flip the coin. Yi does not flip the coin. Martin does not flip the coin. Ade flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Susan flips the coin. Masahiro flips the coin. Dominique flips the coin. Sophie does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Atsushi flips the coin. Pilar does not flip the coin. Adriana flips the coin. Fitri flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Sven does not flip the coin. Barbara does not flip the coin. Kelly does not flip the coin. Rodrigo does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,0,4
A coin is heads up. Miki does not flip the coin. Kaori does not flip the coin. Takuya flips the coin. Luca does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Diana flips the coin. Monique flips the coin. Sylvie flips the coin. Sanne does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Atsushi does not flip the coin. Sandrine does not flip the coin. Tracy flips the coin. Kenji flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Lei flips the coin. Amy flips the coin. Heather does not flip the coin. Cindy flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Adam flips the coin. Peng does not flip the coin. Roberto flips the coin. Cristina does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Andri flips the coin. Mike does not flip the coin. Melanie flips the coin. Ann does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Akira does not flip the coin. Takeshi does not flip the coin. Hiroyuki does not flip the coin. Yudi does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,0,4
A coin is heads up. Marta does not flip the coin. Lupita flips the coin. Noriko does not flip the coin. Kenji flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Gabriela does not flip the coin. Manoj does not flip the coin. Christophe flips the coin. Kevin does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Steven does not flip the coin. Sofie flips the coin. Wang does not flip the coin. Alberto does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Karen flips the coin. Kelly flips the coin. Bambang does not flip the coin. Rekha flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Sabrina flips the coin. Rakesh flips the coin. Indra does not flip the coin. Ann does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Yvonne flips the coin. Nisha flips the coin. Vijay does not flip the coin. Gabriel flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Mark flips the coin. Novi does not flip the coin. Karin flips the coin. Riya does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Karen does not flip the coin. Guillaume flips the coin. Marcia flips the coin. Anna does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Jie flips the coin. Victor flips the coin. María does not flip the coin. Riya does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Frank flips the coin. Sara flips the coin. Antonio flips the coin. Eduardo flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,4
A coin is heads up. Nisha flips the coin. Francisco flips the coin. Marcia does not flip the coin. Allen does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Andri flips the coin. Francesco flips the coin. Seema does not flip the coin. Tomoko does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Romain does not flip the coin. Gerhard flips the coin. Sebastian does not flip the coin. Ayumi flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Mario does not flip the coin. Julien does not flip the coin. Vicky flips the coin. Stefania does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Claudia flips the coin. Takahiro does not flip the coin. Richard does not flip the coin. Ashley does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Patrick flips the coin. Paola does not flip the coin. Giovanni flips the coin. Carlos flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Marta flips the coin. Manfred flips the coin. Yvonne does not flip the coin. Alessandra flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Victor does not flip the coin. Yudi flips the coin. John does not flip the coin. Bambang does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Isabel does not flip the coin. Marianne flips the coin. Mayumi flips the coin. Henny flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Sam does not flip the coin. Jens flips the coin. Takashi does not flip the coin. Sandra does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. John does not flip the coin. Alex flips the coin. Thomas flips the coin. Chiara flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Sara does not flip the coin. Raquel flips the coin. Takuya does not flip the coin. Lin does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Mark does not flip the coin. Liu flips the coin. Raju does not flip the coin. Juan flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Mike does not flip the coin. Olivier does not flip the coin. Matthias does not flip the coin. Julie does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,0,4
A coin is heads up. Ricardo does not flip the coin. Wim flips the coin. Stefanie does not flip the coin. Adriana flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Sandrine flips the coin. Alejandra flips the coin. Mark flips the coin. Catherine flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,4
A coin is heads up. Sandrine does not flip the coin. Daniela flips the coin. Ayaka does not flip the coin. Dian does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Chiara does not flip the coin. Noriko flips the coin. Oscar flips the coin. Sonia does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Priya does not flip the coin. Hendra flips the coin. Adam does not flip the coin. Andri flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Charlotte does not flip the coin. Steven does not flip the coin. Sam flips the coin. Florian flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Wang flips the coin. Antonio flips the coin. Adam does not flip the coin. Ravi does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Valentina flips the coin. Joke flips the coin. Huang does not flip the coin. Sophie does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Louise flips the coin. Ryo flips the coin. James flips the coin. Helen does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Michaela does not flip the coin. Sandrine does not flip the coin. Sonia does not flip the coin. Mayumi does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,0,4
A coin is heads up. Naoki does not flip the coin. Florian does not flip the coin. Sunil flips the coin. Alexandre flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Henny flips the coin. Maggie does not flip the coin. Ayumi flips the coin. Miki flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Angel does not flip the coin. Emma flips the coin. Ricardo flips the coin. David flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Francisca does not flip the coin. Siti flips the coin. Yuka flips the coin. Monika flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Monique does not flip the coin. Wahyu flips the coin. Bernhard does not flip the coin. Sam does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Angela does not flip the coin. Kim flips the coin. Larissa does not flip the coin. Paolo flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Santosh flips the coin. Lei flips the coin. Peter does not flip the coin. Marcia flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Sonu does not flip the coin. Ria does not flip the coin. Sanne does not flip the coin. Diana flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Yuka does not flip the coin. Maggie flips the coin. Chen does not flip the coin. Dominique does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Catherine flips the coin. Indra flips the coin. Sonia does not flip the coin. Yumi flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Monique does not flip the coin. Sanjay flips the coin. Felipe flips the coin. Charlotte does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Emily does not flip the coin. Antonella flips the coin. Mamta does not flip the coin. Kevin flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Gerhard flips the coin. Priya does not flip the coin. Paulo flips the coin. Bambang does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Sara does not flip the coin. Anthony does not flip the coin. Raju does not flip the coin. Mike does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,0,4
A coin is heads up. Christian does not flip the coin. Jesus flips the coin. Komal does not flip the coin. Rachel does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Karen does not flip the coin. Ingrid does not flip the coin. Carine flips the coin. Elodie does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
A coin is heads up. Anita flips the coin. Budi does not flip the coin. Gabriel flips the coin. Rakesh does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Alex flips the coin. Alain does not flip the coin. Sue does not flip the coin. Pierre flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Manuel flips the coin. Alberto does not flip the coin. Erik flips the coin. Camila does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Florian does not flip the coin. Zhang flips the coin. Alain flips the coin. Monique does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,2,4
A coin is heads up. Anja flips the coin. Elizabeth flips the coin. Liang flips the coin. Ajay does not flip the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Manuela flips the coin. Ryo flips the coin. Heather flips the coin. Javier flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,4
A coin is heads up. Sophie flips the coin. Manju flips the coin. Philipp does not flip the coin. Yanti flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,3,4
A coin is heads up. Sonia flips the coin. Ryo flips the coin. Carine flips the coin. Crystal flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,heads,4,4
A coin is heads up. Heather does not flip the coin. Cherry does not flip the coin. Sanne does not flip the coin. Joke flips the coin. Is the coin still heads up? Note that 'flip' here means 'reverse'.,tails,1,4
